"Workload (ω)","iter","Median Time Elapsed (sec)","Mean Time Elapsed (sec)","stdev","min","max","Dynamic Verification","Example"
0,3,0.003796208,0.013266861,17818774,2183250,33821125,"Disabled","Composite"
2,3,0.002770209,0.012012972,16206573,2542458,30726250,"Disabled","Composite"
4,3,0.002691041,0.015288722,21950506,2540292,40634834,"Disabled","Composite"
6,3,0.002876334,0.020229208,30120747,2801666,55009625,"Disabled","Composite"
8,3,0.00272775,0.017484541,25778312,2475458,47250416,"Disabled","Composite"
10,3,0.002936625,0.018127972,26416790,2815916,48631375,"Disabled","Composite"
12,3,0.002898417,0.019534736,28957998,2733375,52972417,"Disabled","Composite"
14,3,0.002928709,0.020193069,30033867,2777417,54873083,"Disabled","Composite"
16,3,0.0028775,0.021759055,32785253,2783500,59616167,"Disabled","Composite"
18,3,0.002947958,0.020694236,30909953,2748959,56385791,"Disabled","Composite"
20,3,0.002910042,0.020273069,30206859,2756333,55152833,"Disabled","Composite"
22,3,0.003112916,0.021417263,31964978,2812041,58326833,"Disabled","Composite"
24,3,0.002900292,0.016585389,24026527,2527875,44328000,"Disabled","Composite"
26,3,0.0029075,0.02209943,33346675,2786000,60604791,"Disabled","Composite"
28,3,0.00292475,0.018838069,27675373,2794708,50794750,"Disabled","Composite"
30,3,0.003219458,0.021327972,31748418,2777458,57987000,"Disabled","Composite"
32,3,0.004185583,0.020853208,29908983,2991792,55382250,"Disabled","Composite"
34,3,0.002726,0.016936041,24749038,2568500,45513625,"Disabled","Composite"
36,3,0.003219542,0.020825402,30861625,2796166,56460500,"Disabled","Composite"
38,3,0.002980417,0.018967972,27835359,2814167,51109334,"Disabled","Composite"
40,3,0.002909625,0.020102305,29859316,2816459,54580833,"Disabled","Composite"
42,3,0.00306,0.020729264,30823788,2806584,56321209,"Disabled","Composite"
44,3,0.0029935,0.018726138,27411691,2806666,50378250,"Disabled","Composite"
46,3,0.00295625,0.01911343,28130819,2788084,51595958,"Disabled","Composite"
48,3,0.002918959,0.019715597,29214934,2777833,53450000,"Disabled","Composite"
50,3,0.0029305,0.019623819,29035872,2789500,53151459,"Disabled","Composite"
52,3,0.002914583,0.019388861,28640186,2792375,52459625,"Disabled","Composite"
54,3,0.002761167,0.017736278,26100960,2572792,47874875,"Disabled","Composite"
56,3,0.003156041,0.021088916,31350565,2821791,57288917,"Disabled","Composite"
58,3,0.003101875,0.020018027,29587043,2770541,54181667,"Disabled","Composite"
60,3,0.002939708,0.020658361,30837201,2769417,56265958,"Disabled","Composite"
62,3,0.002949834,0.021000167,31273223,2939292,57111375,"Disabled","Composite"
64,3,0.003236625,0.019349541,28373954,2700500,52111500,"Disabled","Composite"
66,3,0.002934542,0.02071475,30869576,2849875,56359833,"Disabled","Composite"
68,3,0.002946083,0.020123638,29816868,2871667,54553166,"Disabled","Composite"
70,3,0.003278166,0.021536041,31983568,2863250,58466708,"Disabled","Composite"
72,3,0.003049667,0.020077597,29689539,2823250,54359875,"Disabled","Composite"
74,3,0.00278825,0.01646393,23789743,2669667,43933875,"Disabled","Composite"
76,3,0.002911291,0.019427763,28726024,2774375,52597625,"Disabled","Composite"
78,3,0.002941291,0.019296625,28373710,2888834,52059750,"Disabled","Composite"
80,3,0.003014083,0.020298402,30097098,2829750,55051375,"Disabled","Composite"
82,3,0.003122875,0.021630194,32312227,2826959,58940750,"Disabled","Composite"
84,3,0.003060458,0.019432916,28451800,2952125,52286167,"Disabled","Composite"
86,3,0.003180208,0.020608014,30506690,2810375,55833459,"Disabled","Composite"
88,3,0.002937625,0.020411388,30348587,2841666,55454875,"Disabled","Composite"
90,3,0.004282292,0.020673166,29492024,3017416,54719792,"Disabled","Composite"
92,3,0.003058458,0.021288486,31610306,3018084,57788917,"Disabled","Composite"
94,3,0.002609083,0.016603847,24240869,2607667,44594792,"Disabled","Composite"
96,3,0.003260333,0.021603097,32149323,2823875,58725083,"Disabled","Composite"
98,3,0.003257333,0.021953347,32734572,2851459,59751250,"Disabled","Composite"
100,3,0.00295275,0.020047763,29764549,2773791,54416750,"Disabled","Composite"
102,3,0.003058375,0.020791833,30861688,2889416,56427708,"Disabled","Composite"
104,3,0.003020625,0.020635847,30599956,2917333,55969583,"Disabled","Composite"
106,3,0.003082167,0.020299292,29970195,2909959,54905750,"Disabled","Composite"
108,3,0.00297625,0.020784236,30916424,2893042,56483416,"Disabled","Composite"
110,3,0.002982708,0.020712486,30724213,2965000,56189750,"Disabled","Composite"
112,3,0.002963917,0.019795375,29181379,2931084,53491125,"Disabled","Composite"
114,3,0.003034417,0.021040847,31312951,2890292,57197833,"Disabled","Composite"
116,3,0.002943084,0.019295889,28379838,2878500,52066083,"Disabled","Composite"
118,3,0.003117208,0.02053125,30334977,2917667,55558875,"Disabled","Composite"
120,3,0.002990292,0.016935819,24439077,2662167,45155000,"Disabled","Composite"
122,3,0.003033083,0.020521499,30407886,2898000,55633416,"Disabled","Composite"
124,3,0.003062917,0.019531708,28665844,2900166,52632041,"Disabled","Composite"
126,3,0.003022167,0.020850597,30939233,2953500,56576125,"Disabled","Composite"
128,3,0.00295575,0.020240764,29979486,2908459,54858083,"Disabled","Composite"
0,3,0.003066583,0.021865013,32666234,2943792,59584666,"Enabled","Composite"
2,3,0.004072583,0.020495027,28752531,3717541,53694958,"Enabled","Composite"
4,3,0.008371209,0.026525375,31911175,7833000,63371916,"Enabled","Composite"
6,3,0.0171555,0.037387361,36234957,15786167,79220417,"Enabled","Composite"
8,3,0.035622625,0.057161666,38371391,34398875,101463500,"Enabled","Composite"
10,3,0.060841625,0.080957194,35758553,59786834,122243125,"Enabled","Composite"
12,3,0.103366333,0.125016277,37748783,103078000,168604500,"Enabled","Composite"
14,3,0.173479542,0.195051486,40625179,169762625,241912292,"Enabled","Composite"
16,3,0.252515125,0.273140499,36379387,251760833,315145541,"Enabled","Composite"
18,3,0.387329917,0.409185736,41206636,383511333,456715958,"Enabled","Composite"
20,3,0.557428292,0.56853343,28979304,546749083,601422916,"Enabled","Composite"
22,3,0.748356583,0.763547125,41327183,731964958,810319834,"Enabled","Composite"
24,3,0.95862225,0.974865166,28870332,957775083,1008198166,"Enabled","Composite"
26,3,1.286390834,1.30141357,44850039,1266003334,1351846542,"Enabled","Composite"
28,3,1.544982125,1.555975889,27773099,1535382583,1587562959,"Enabled","Composite"
30,3,1.955644291,1.983510819,56809842,1946015000,2048873167,"Enabled","Composite"
32,3,2.419747333,2.444205014,43682510,2418230084,2494637625,"Enabled","Composite"
34,3,2.890886375,2.892280458,28854768,2864148000,2921807000,"Enabled","Composite"
36,3,3.395888125,3.397993249,49790283,3349288916,3448802708,"Enabled","Composite"
38,3,4.115286292,4.13361518,60483625,4084416041,4201143208,"Enabled","Composite"
40,3,4.774631375,4.778999291,8621383,4773436041,4788930458,"Enabled","Composite"
42,3,5.588939667,5.610638389,50949956,5574129834,5668845666,"Enabled","Composite"
44,3,6.472756,6.486559236,42793016,6452371375,6534550333,"Enabled","Composite"
46,3,7.510671333,7.518868639,25866011,7498094542,7547840042,"Enabled","Composite"
48,3,8.69195275,8.685869014,17923906,8665695084,8699959208,"Enabled","Composite"
50,3,9.775387834,9.81925175,103841954,9744539416,9937828000,"Enabled","Composite"
52,3,11.17121675,11.185055944,56303072,11136962875,11246988208,"Enabled","Composite"
54,3,12.435966583,12.440775152,30199724,12413268209,12473090666,"Enabled","Composite"
56,3,14.038334416,14.034957708,43709079,13989658208,14076880500,"Enabled","Composite"
58,3,15.38563125,15.399250264,32842760,15375407875,15436711667,"Enabled","Composite"
60,3,17.38882675,17.381788847,61587110,17316985125,17439554667,"Enabled","Composite"
62,3,19.470079959,19.461898361,30052280,19428602500,19487012625,"Enabled","Composite"
64,3,21.221187041,21.19560543,99846854,21085456625,21280172625,"Enabled","Composite"
66,3,23.560884042,23.56511593,71694400,23495631208,23638832541,"Enabled","Composite"
68,3,26.315636333,26.280562152,110183051,26157111625,26368938500,"Enabled","Composite"
70,3,28.499942166,28.464856291,117418161,28333894834,28560731875,"Enabled","Composite"
72,3,31.201663458,31.1010325,178720849,30894684333,31206749709,"Enabled","Composite"
74,3,34.560825583,34.533780111,75751334,34448218000,34592296750,"Enabled","Composite"
76,3,37.3667835,37.402223625,177782823,37244830209,37595057167,"Enabled","Composite"
78,3,40.442082917,40.417084055,87282294,40320029958,40489139292,"Enabled","Composite"
80,3,43.30956825,43.271749347,154799582,43101544791,43404135000,"Enabled","Composite"
82,3,46.619413917,46.643413805,152429847,46504407583,46806419917,"Enabled","Composite"
84,3,50.878603833,50.828657291,141042658,50669437833,50937930208,"Enabled","Composite"
86,3,54.875632542,54.888461083,291344090,54603743167,55186007541,"Enabled","Composite"
88,3,59.299497417,59.303571902,28736485,59277090125,59334128166,"Enabled","Composite"
90,3,63.540079458,63.543295805,25078894,63519980250,63569827708,"Enabled","Composite"
92,3,68.280497125,68.266870958,167569777,68092904125,68427211625,"Enabled","Composite"
94,3,72.372518084,72.425377445,160567541,72297903417,72605710834,"Enabled","Composite"
96,3,77.722441125,77.770393139,171193871,77628288458,77960449834,"Enabled","Composite"
98,3,83.443465125,83.345276555,232021228,83080304750,83512059792,"Enabled","Composite"
100,3,89.255441167,89.181775056,330092680,88821072959,89468811042,"Enabled","Composite"
102,3,95.79189375,95.652673111,247773164,95366603208,95799522375,"Enabled","Composite"
