"Workload (ω)","iter","Median Time Elapsed (sec)","Mean Time Elapsed (sec)","stdev","min","max","Dynamic Verification","Example"
0,3,0.0031215,0.021424041,32027905,2744584,58406041,"Disabled","BST"
2,3,0.002882125,0.019643458,29138500,2758625,53289625,"Disabled","BST"
4,3,0.004358166,0.020467305,29086823,2999042,54044708,"Disabled","BST"
6,3,0.002888792,0.020902042,31324112,2745417,57071917,"Disabled","BST"
8,3,0.002929041,0.020080819,29866699,2745666,54567750,"Disabled","BST"
10,3,0.002584042,0.01806893,26873675,2522792,49099958,"Disabled","BST"
12,3,0.002907209,0.020177041,30032108,2768875,54855041,"Disabled","BST"
14,3,0.003008791,0.020414388,30364395,2758500,55475875,"Disabled","BST"
16,3,0.002730333,0.018160847,26833603,2606667,49145541,"Disabled","BST"
18,3,0.002903916,0.018529124,27323620,2604208,50079250,"Disabled","BST"
20,3,0.002829167,0.020097152,29976676,2751083,54711208,"Disabled","BST"
22,3,0.002934625,0.021502097,32284665,2790542,58781125,"Disabled","BST"
24,3,0.002944291,0.020708722,30946529,2739375,56442500,"Disabled","BST"
26,3,0.002853875,0.020262194,30258713,2730833,55201875,"Disabled","BST"
28,3,0.00280525,0.019315486,28692497,2694541,52446667,"Disabled","BST"
30,3,0.002941125,0.020339861,30297079,2754708,55323750,"Disabled","BST"
32,3,0.002810125,0.020144597,30039018,2793000,54830667,"Disabled","BST"
34,3,0.002949666,0.019711694,29196588,2760583,53424834,"Disabled","BST"
36,3,0.003061041,0.020142999,29806771,2807375,54560583,"Disabled","BST"
38,3,0.002952667,0.019720847,29208292,2762375,53447500,"Disabled","BST"
40,3,0.002895291,0.018509166,27125544,2801208,49831000,"Disabled","BST"
42,3,0.002957583,0.019814652,29343166,2789292,53697083,"Disabled","BST"
44,3,0.003191084,0.02179725,32390389,3002375,59198291,"Disabled","BST"
46,3,0.00307575,0.021672875,32357705,2906667,59036208,"Disabled","BST"
48,3,0.002922417,0.021910569,32995674,2798666,60010625,"Disabled","BST"
50,3,0.00300625,0.020488319,30419224,2845416,55613292,"Disabled","BST"
52,3,0.003152542,0.022044416,33034707,2791666,60189042,"Disabled","BST"
54,3,0.002879125,0.020662625,30855454,2817334,56291417,"Disabled","BST"
56,3,0.003007875,0.019647138,28925047,2886708,53046833,"Disabled","BST"
58,3,0.003026375,0.020922125,31193034,2799500,56940500,"Disabled","BST"
60,3,0.003111375,0.021026347,31303885,2795167,57172500,"Disabled","BST"
62,3,0.002925458,0.019500611,28802226,2817875,52758500,"Disabled","BST"
64,3,0.002798666,0.017235597,25180239,2597125,46311000,"Disabled","BST"
66,3,0.00302725,0.018840694,27505059,2894125,50600708,"Disabled","BST"
68,3,0.002896542,0.021085597,31540640,2854666,57505583,"Disabled","BST"
70,3,0.002887292,0.020261486,30108541,2869333,55027834,"Disabled","BST"
72,3,0.003034625,0.02094675,31188062,2846167,56959459,"Disabled","BST"
74,3,0.002885125,0.016633139,24040274,2622250,44392042,"Disabled","BST"
76,3,0.003054292,0.020793764,30886490,2868750,56458250,"Disabled","BST"
78,3,0.00310025,0.021739319,32468814,2886833,59230875,"Disabled","BST"
80,3,0.002950208,0.020356583,30227677,2859084,55260459,"Disabled","BST"
82,3,0.0029315,0.017467791,25420685,2651250,46820625,"Disabled","BST"
84,3,0.003135083,0.01832525,26548978,2859709,48980958,"Disabled","BST"
86,3,0.003029292,0.019738972,29060380,2892708,53294917,"Disabled","BST"
88,3,0.00293875,0.020879528,31107037,2901000,56798834,"Disabled","BST"
90,3,0.003150333,0.02265818,33913294,3006416,61817792,"Disabled","BST"
92,3,0.00293225,0.020056347,29683011,2905459,54331333,"Disabled","BST"
94,3,0.003391417,0.02198993,32550564,3002959,59575416,"Disabled","BST"
96,3,0.003077667,0.019867903,29230878,2905375,53620667,"Disabled","BST"
98,3,0.003247875,0.021786138,32374652,2941791,59168750,"Disabled","BST"
100,3,0.003289459,0.021462722,31736165,2990625,58108083,"Disabled","BST"
102,3,0.003121959,0.020808292,30780571,2952417,56350500,"Disabled","BST"
104,3,0.002937875,0.01992268,29436806,2916792,53913375,"Disabled","BST"
106,3,0.003020708,0.021250444,31636842,2949125,57781500,"Disabled","BST"
108,3,0.003037208,0.01915418,27995415,2944875,51480458,"Disabled","BST"
110,3,0.003036166,0.020756791,30779485,2936375,56297833,"Disabled","BST"
112,3,0.003136125,0.018856541,27345738,3000916,50432584,"Disabled","BST"
114,3,0.0030885,0.020674292,30580772,2948542,55985834,"Disabled","BST"
116,3,0.003422916,0.021684611,31970845,3030250,58600667,"Disabled","BST"
118,3,0.003115333,0.019835819,29046655,3016167,53375959,"Disabled","BST"
120,3,0.003059542,0.020424555,30222876,2891333,55322792,"Disabled","BST"
122,3,0.002963125,0.018120958,26285175,2927292,48472458,"Disabled","BST"
124,3,0.003175833,0.019715444,28783447,3018917,52951583,"Disabled","BST"
126,3,0.003239,0.021013403,30954727,3044542,56756667,"Disabled","BST"
128,3,0.003099583,0.020191277,29687979,3002292,54471958,"Disabled","BST"
0,3,0.002960375,0.019599583,28877780,2893625,52944750,"Enabled","BST"
2,3,0.00318525,0.019752458,28839198,3019167,53052958,"Enabled","BST"
4,3,0.004606292,0.02485393,35515933,4092375,65863125,"Enabled","BST"
6,3,0.004980792,0.023308972,31987952,4701000,60245125,"Enabled","BST"
8,3,0.008319583,0.026227319,31786257,7435000,62927375,"Enabled","BST"
10,3,0.009915083,0.028144416,32275136,9108542,65409625,"Enabled","BST"
12,3,0.013238375,0.032522222,34465541,12014958,72313333,"Enabled","BST"
14,3,0.017802208,0.037212847,34996463,16223334,77613000,"Enabled","BST"
16,3,0.018488041,0.03706125,33385498,17092625,75603084,"Enabled","BST"
18,3,0.023312958,0.042214291,34117292,21730959,81598958,"Enabled","BST"
20,3,0.042977458,0.062480041,34581486,42054917,102407750,"Enabled","BST"
22,3,0.028151,0.047540444,33691958,28025833,86444500,"Enabled","BST"
24,3,0.037244041,0.056406458,34041783,36264875,95710458,"Enabled","BST"
26,3,0.048523833,0.069881486,37895901,47484833,113635792,"Enabled","BST"
28,3,0.096791584,0.118196722,37580738,96208666,161589916,"Enabled","BST"
30,3,0.085879708,0.103421805,31657715,84418458,139967250,"Enabled","BST"
32,3,0.106794417,0.125464138,32379640,106745083,162852916,"Enabled","BST"
34,3,0.114554458,0.131836569,31296265,112992125,167963125,"Enabled","BST"
36,3,0.167307708,0.183337347,32389490,162088416,220615917,"Enabled","BST"
38,3,0.197179042,0.216834111,35267415,195773959,257549334,"Enabled","BST"
40,3,0.184715167,0.205620458,38470120,182129375,250016834,"Enabled","BST"
42,3,0.28013825,0.297181736,31203563,278211625,333195334,"Enabled","BST"
44,3,0.265149333,0.284602513,35179154,263446208,325212000,"Enabled","BST"
46,3,0.390295666,0.407989569,43632893,375982834,457690208,"Enabled","BST"
48,3,0.243555958,0.266133805,39153728,243500833,311344625,"Enabled","BST"
50,3,0.421887,0.440493222,34013573,419841709,479750959,"Enabled","BST"
52,3,0.382426417,0.404360611,45708616,373753125,456902292,"Enabled","BST"
54,3,0.561815875,0.579174208,42801043,547779125,627927625,"Enabled","BST"
56,3,0.563909041,0.581817083,44012967,549581083,631961125,"Enabled","BST"
58,3,0.551401625,0.576503972,44805791,549876541,628233750,"Enabled","BST"
60,3,0.771669167,0.787602431,30246993,768652917,822485209,"Enabled","BST"
62,3,0.893836792,0.903482736,35898923,873392250,943219166,"Enabled","BST"
64,3,0.8916865,0.904261902,38113515,874025167,947074041,"Enabled","BST"
66,3,0.873299959,0.897511194,42411499,872750875,946482750,"Enabled","BST"
68,3,1.091926583,1.100400097,35756510,1069641458,1139632250,"Enabled","BST"
70,3,1.354354792,1.376111819,40888128,1350702417,1423278250,"Enabled","BST"
72,3,1.056864167,1.067296917,36663362,1036980625,1108045959,"Enabled","BST"
74,3,1.39237175,1.4134235,36969721,1391787625,1456111125,"Enabled","BST"
76,3,1.735431,1.74324825,44332627,1703344208,1790969542,"Enabled","BST"
78,3,1.475408667,1.508667903,58052356,1474894709,1575700333,"Enabled","BST"
80,3,1.799853125,1.817450389,32499741,1797543875,1854954167,"Enabled","BST"
82,3,1.857903125,1.888940305,57123879,1854053958,1954863833,"Enabled","BST"
84,3,2.065055541,2.082962888,33883061,2061790875,2122042250,"Enabled","BST"
86,3,2.108624,2.118688972,32313222,2092606083,2154836834,"Enabled","BST"
88,3,1.968115458,1.991004777,40113410,1967576166,2037322708,"Enabled","BST"
90,3,2.23082525,2.25598368,48278165,2225480750,2311645042,"Enabled","BST"
92,3,2.82171575,2.837958583,35005073,2814025625,2878134375,"Enabled","BST"
94,3,2.482973875,2.501750791,42633519,2471728750,2550549750,"Enabled","BST"
96,3,3.125343417,3.123913319,38155126,3085063250,3161333292,"Enabled","BST"
98,3,2.861110917,2.866743653,37471479,2832407417,2906712625,"Enabled","BST"
100,3,3.69685525,3.707272764,23569886,3690706625,3734256417,"Enabled","BST"
102,3,4.147849292,4.156341,66472281,4094522625,4226651084,"Enabled","BST"
104,3,3.711871041,3.712380555,6717029,3705932792,3719337834,"Enabled","BST"
106,3,3.721826292,3.712485152,56469414,3651927625,3763701541,"Enabled","BST"
108,3,4.234049125,4.237802791,17738660,4222241375,4257117875,"Enabled","BST"
110,3,4.359008166,4.351690583,22345936,4326603291,4369460292,"Enabled","BST"
112,3,5.047519458,5.03563418,32018890,4999372167,5060010917,"Enabled","BST"
114,3,5.082759,5.126635819,101445669,5054513917,5242634542,"Enabled","BST"
116,3,5.957270375,5.970667125,79424939,5898792500,6055938500,"Enabled","BST"
118,3,5.245863041,5.240649138,52986183,5185248750,5290835625,"Enabled","BST"
120,3,5.362445458,5.37233368,39397275,5338822459,5415733125,"Enabled","BST"
122,3,5.991230125,5.99255568,4013509,5989372625,5997064292,"Enabled","BST"
124,3,5.614608375,5.615259249,14630341,5600965208,5630204166,"Enabled","BST"
126,3,6.014083041,6.045590805,75142536,5991331500,6131357875,"Enabled","BST"
128,3,7.958477833,7.95165368,22945454,7926070292,7970412916,"Enabled","BST"
